0:11:31 | [CMD] TunlordBeyWT(10) => /d bende lag var
0:11:33 | [CMD] nefariouss(9) => /rescue
0:11:39 | 
0:11:42 | {FFCC00}cCc.Bayram.cCC(6) {FFFFFF}Kamyoncu olarak spawn oldu.
0:11:45 | [SirketCHT] GravLaunch(25): !ikisini de tanýyom hüseyin reis hüseyin teksas mert :D
0:11:46 | [CMD] cCc.Bayram.cCC(6) => /sa
0:11:47 | [SirketCHT] ASLANBEY(12): !
0:11:49 | [CMD] eren1616(16) => /as
0:11:53 | [CMD] Konyali42(11) => /work
0:11:54 | [SirketCHT] GravLaunch(25): !eski adminlik yararlarý .d
0:11:55 | [CMD] GravLaunch(25) => /work
0:11:57 | [CMD] cCc.Bayram.cCC(6) => /djler
0:11:57 | [CMD] [cCc]HulkHulk[cCc](17) => /rescue
0:11:59 | [CMD] [cCc]HulkHulk[cCc](17) => /rescue
0:11:59 | [CMD] bay.potiy(14) => /rescue
0:12:0 | [CMD] cCc.Bayram.cCC(6) => /vipler
0:12:1 | [SirketCHT] Jodor(18): ! sanane milletin reeldeki hayatýndan
0:12:3 | [CMD] batu.123(23) => /rescue
0:12:6 | [SirketCHT] GravLaunch(25): !Aynen
0:12:12 | BOZKURT545(21) oyuna girdi [IP: 88.230.183.61]
0:12:13 | [CMD] Jodor(18) => /c baþla
0:12:14 | [CMD] nefariouss(9) => /convoyayril
0:12:14 | [CMD] huso608(8) => /goto 0
0:12:20 | [CMD] nefariouss(9) => /sirketayrýl
0:12:20 | [CMD] cCc.Bayram.cCC(6) => /sac
0:12:22 | [CMD] [cCc]HulkHulk[cCc](17) => /saat 1
0:12:22 | [CMD] CagatayBro(13) => /asiriyuk
0:12:23 | [CMD] huso608(8) => /goto 0
0:12:23 | [CMD] Jodor(18) => /c geldi
0:12:25 | [SirketCHT] GravLaunch(25): !Sancak forumdaki açtýðým konuya bakarsa görevime geri dönmeyi bekliyorum Allah'ýn izniyle 
0:12:25 | 
0:12:26 | [CMD] GravLaunch(25) => /work
0:12:28 | [CMD] Jodor(18) => /asiriyuk
0:12:28 | {FFCC00}BOZKURT545(21) {FFFFFF}Kamyoncu olarak spawn oldu.
0:12:30 | [CMD] cCc.Bayram.cCC(6) => /convoy
0:12:31 | [CMD] GravLaunch(25) => /bonus
0:12:32 | [CMD] GravLaunch(25) => /work
0:12:33 | huso608(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:12:36 | BOZKURT545(21): matite
0:12:37 | [SirketCHT] Jodor(18): ! hayýrlýsý grav
0:12:41 | [SirketCHT] GravLaunch(25): !Amin
0:12:46 | [CMD] [cCc]HulkHulk[cCc](17) => /pm 9 yükü nerden alcaz
0:12:47 | [CMD] [cCc]HulkHulk[cCc](17) => /pm 9 yükü nerden alcaz
0:12:47 | BOZKURT545(21): foruma skorunuz geri verildi dedi ama 
0:12:47 | [CMD] [cCc]HulkHulk[cCc](17) => /pm 9 yükü nerden alcaz
0:12:48 | cCc.Bayram.cCC(6): @10 convoy nerde
0:12:48 | [CMD] [cCc]HulkHulk[cCc](17) => /pm 9 yükü nerden alcaz
0:12:49 | [CMD] [cCc]HulkHulk[cCc](17) => /pm 9 yükü nerden alcaz
0:12:50 | [CMD] [cCc]HulkHulk[cCc](17) => /pm 9 yükü nerden alcaz
0:12:50 | [SirketCHT] Jodor(18): ! bazý adminlerden hiç memnun deðilim
0:12:53 | BOZKURT545(21): hala ayný skorum
0:12:53 | [CMD] GravLaunch(25) => /asiriyuk
0:13:0 | [SirketCHT] GravLaunch(25): !mesela sonuna boþluk koy 
0:13:3 | [CMD] eren1616(16) => /atamir
0:13:6 | GSLIMERT(19) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:13:7 | [SirketCHT] GravLaunch(25): !cmd var adminler görürler 
0:13:8 | [SirketCHT] Jodor(18): ! hehe 
0:13:9 | [CMD] CcCAtakan1907(20) => /geldim
0:13:11 | huso608(8) oyuna girdi [IP: 88.230.238.86]
0:13:12 | [CMD] Freezer3543(27) => /pm 21 Aga umut sen miydin
0:13:15 | BOZKURT545(21): MATÝTE forumda skorunuz geri verildi yazýyor ama hala verilmemiþ
0:13:15 | CcCAtakan1907(20): aa afkken lotto :D
0:13:16 | [SirketCHT] Jodor(18): ! biliyorum onu 
0:13:19 | [CMD] nefariouss(9) => /rescue
0:13:19 | [SirketCHT] GravLaunch(25): !:)
0:13:23 | 
0:13:28 | huso608(8) Mafya olarak spawn oldu.
0:13:31 | [CMD] BOZKURT545(21) => /pm 27 ney hafýz skorum gitti
0:13:31 | [TR]Asker(19) oyuna girdi [IP: 217.131.205.5]
0:13:33 | [SirketCHT] Jodor(18): ! r2 iydim bi ara
0:13:34 | [CMD] huso608(8) => /meslek
0:13:36 | huso608(8) Oduncu olarak spawn oldu.
0:13:37 | BOZKURT545(21): MATÝTE forumda skorunuz geri verildi yazýyor ama hala verilmemiþ
0:13:39 | [CMD] huso608(8) => /admgiris
0:13:40 | [SirketCHT] Jodor(18): ! bu atakan yüzünden býraktým
0:13:42 | [CMD] Freezer3543(27) => /pm 21 Gecmis olsun
0:13:46 | 
0:13:51 | [SirketCHT] Konyali42(11): ! ne olduda
0:13:55 | CcCAtakan1907(20): matite afkmýþ
0:13:56 | [SirketCHT] GravLaunch(25): !a1 dim aile yüzünden býraktým 
0:13:57 | huso608(8): @21 musait olunca seslenicez
0:14:0 | {FFCC00}[TR]Asker(19) {FFFFFF}Kamyoncu olarak spawn oldu.
0:14:1 | [CMD] BOZKURT545(21) => /pm 27 eyvallah uðtaýþýym iþte düzelttitmeye
0:14:1 | [CMD] huso608(8) => /goto 0
0:14:4 | [CMD] TunlordBeyWT(10) => /work
0:14:7 | [CMD] ASLANBEY(12) => /convoy
0:14:8 | GravLaunch(25): baþkan bizi mi kazýklýyorsunuz
0:14:12 | [CMD] eren1616(16) => /atamir
0:14:13 | GravLaunch(25): Hiç seslenme yok
0:14:13 | [CMD] [TR]Asker(19) => /kurallar
0:14:15 | BOZKURT545(21): seslencez derken hüso
0:14:19 | CcCAtakan1907(20): ben tekrar afk
0:14:19 | huso608(8): @25 ne demek istiyorsun
0:14:20 | [CMD] [TR]Asker(19) => /kurallar
0:14:20 | [CMD] CcCAtakan1907(20) => /afk
0:14:21 | GravLaunch(25): Para vericem artýk konuþmak için
0:14:25 | BOZKURT545(21): foruma geri verildi yazmýþ ama verilmemiþ
0:14:25 | huso608(8): cagýracaz
0:14:27 | [CMD] Freezer3543(27) => /pm 21 Aga para vermesen de bu durumda ellemezdim asýrý yukunu
0:14:31 | [CMD] GSpor1991(7) => /meslek
0:14:32 | [LOCAL]eren1616(16): sa hüso baþkan
0:14:32 | [CMD] eren1616(16) => /l sa hüso baþkan
0:14:32 | GravLaunch(25): Hadi hayýrlýsý.
0:14:32 | SoOoPoL(15) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:14:35 | huso608(8): @25 sýnýrlarý zorlama
0:14:36 | {FFCC00}GSpor1991(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:14:39 | [CMD] [cCc]HulkHulk[cCc](17) => /tamir
0:14:40 | GravLaunch(25): Ne yaptým ?
0:14:42 | [CMD] GSpor1991(7) => /rescue
0:14:42 | [CMD] eren1616(16) => /galeir
0:14:44 | [CMD] cCc.Bayram.cCC(6) => /convoy
0:14:44 | [CMD] TunlordBeyWT(10) => /asiriyuk
0:14:44 | [CMD] eren1616(16) => /galeri
0:14:45 | [CMD] [cCc]HulkHulk[cCc](17) => /modifiye
0:14:49 | [SirketCHT] Jodor(18): ! boþ ver konyalý. þunu bil haddi olmayan konularda ahkam kesmesine ayar oldum. 
0:14:50 | [CMD] [TR]Asker(19) => /basarimlar
0:14:50 | cCc.Bayram.cCC(6): tunlord
0:14:51 | huso608(8): konusma tarzýný duzeltmeni tavsiye ederim
0:14:52 | TunlordBeyWT(10): efm
0:14:53 | [CMD] BOZKURT545(21) => /pm 27 5 skor kaldým artýk verecek paramda yok :D
0:14:57 | cCc.Bayram.cCC(6): konvoy nerde
0:15:1 | GravLaunch(25): Nasýl yani konuþmam da ne var ?
0:15:6 | TunlordBeyWT(10): baþladýk göreve
0:15:6 | [CMD] eren1616(16) => /meslek
0:15:8 | [CMD] Freezer3543(27) => /pm 21 Aga yardým edebilsem edicem
0:15:8 | {FFCC00}eren1616(16) {FFFFFF}Pilot olarak spawn oldu.
0:15:11 | [CMD] batu.123(23) => /tamir
0:15:11 | cCc.Bayram.cCC(6): nerde biticek
0:15:12 | huso608(8): davranýslarýn hosuma gitmiyor
0:15:12 | GravLaunch(25): Her neyse
0:15:12 | [TR]Asker(19) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:15:13 | [CMD] eren1616(16) => /fly
0:15:15 | [CMD] Konyali42(11) => /c yanlis yaptim hayda :d
