0:15:33 | [SirketCHT] Sparta298(25): ! sezer
0:15:34 | sezzer(16): he
0:15:37 | [SirketCHT] Sparta298(25): ! Faceye bak
0:15:39 | [CMD] Freezer3543(13) => /work
0:15:45 | [CMD] Karpuzlupasta(28) => /convoy
0:15:45 | [SirketCHT] sezzer(16): ! la tel kapalý
0:15:50 | [SirketCHT] sezzer(16): ! çýkýnca bakarým
0:15:52 | [SirketCHT] Sparta298(25): ! aç
0:15:55 | [UP]MUST@F@(0): bilmiyomki
0:15:55 | ASLANBEY(6) oyundan cIktI (Hata/Crash) (IP: 217.131.65.43)
0:16:7 | [CMD] Emirhan4427(22) => /atamir
0:16:9 | [CMD] Emirhan4427(22) => /fuel
0:16:13 | [CMD] CagatayBro(24) => /rankatla
0:16:14 | [CMD] [UP]MUST@F@(0) => /meslek
0:16:15 | [CMD] CagatayBro(24) => /ranklar
0:16:15 | [SirketCHT] Sparta298(25): ! ben þu turismo modunu kaldýrayýmda geleyim
0:16:16 | [UP]MUST@F@(0) Mafya olarak spawn oldu.
0:16:22 | [SirketCHT] sezzer(16): ! neden
0:16:24 | [SirketCHT] CagatayBro(24): ! rank nasýl atlýyorduk reis
0:16:28 | [SirketCHT] Sparta298(25): ! baþka lazým
0:16:28 | [CMD] [UP]MUST@F@(0) => /work
0:16:29 | [CMD] [UP]MUST@F@(0) => /kemer
0:16:31 | [CMD] DarkFlow(10) => /cevir
0:16:32 | [SirketCHT] Sparta298(25): ! artýk sýkýldým
0:16:33 | [SirketCHT] sezzer(16): ! skor kastýkça kendi atlar
0:16:36 | [SirketCHT] sezzer(16): ! /ranklar
0:16:41 | [CMD] CagatayBro(24) => /ranklar
0:16:41 | [CMD] [UP]MUST@F@(0) => /modifiye
0:16:42 | [CMD] DarkFlow(10) => /tamir
0:16:45 | Sparta298(25) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:16:48 | [CMD] CagatayBro(24) => /c tamam saðol
0:16:52 | [SirketCHT] CagatayBro(24): ! he tamam saðol
0:17:0 | [CMD] Freezer3543(13) => /tamir
0:17:8 | [SirketCHT] sezzer(16): ! ulan tam rehber olacak adamým
0:17:10 | [SirketCHT] sezzer(16): ! asjdgajgd
0:17:39 | [LOCAL]sezzer(16): pata pata pata
0:17:39 | [CMD] sezzer(16) => /l pata pata pata
0:17:41 | [LOCAL]sezzer(16): pata pata pata
0:17:41 | [CMD] sezzer(16) => /l pata pata pata
0:17:42 | [LOCAL]sezzer(16): pata pata pata
0:17:42 | [CMD] sezzer(16) => /l pata pata pata
0:17:49 | sezzer(16): emöirhan :D
0:17:58 | [CMD] Emirhan4427(22) => /atamir
0:18:0 | [CMD] Emirhan4427(22) => /fuel
0:18:6 | [CMD] Emirhan4427(22) => /respawn 686
0:18:8 | [CMD] Emirhan4427(22) => /respawn 686
0:18:18 | [CMD] Emirhan4427(22) => /respawn 686
0:18:18 | sezzer(16): karpuzlu
0:18:20 | [CMD] Emirhan4427(22) => /respawn 686
0:18:21 | Karpuzlupasta(28): ?
0:18:22 | [CMD] Emirhan4427(22) => /respawn 686
0:18:26 | sezzer(16): ayný þirketten araç çalmak yasak knk
0:18:32 | Karpuzlupasta(28): yasakmý?
0:18:34 | sezzer(16): evet
0:18:34 | Freezer3543(13): Evet
0:18:35 | Karpuzlupasta(28): admin
0:18:39 | Karpuzlupasta(28): öhöööö :D
0:18:44 | [CMD] Konyali42(17) => /parket
0:18:44 | Karpuzlupasta(28): herkez bizim þirkette
0:18:46 | Freezer3543(13): Kick yedim sýrf o yuzden :D
0:18:46 | [CMD] Konyali42(17) => /park
0:18:46 | sezzer(16): þirket kuralý
0:18:48 | Sparta298(6) oyuna girdi [IP: 176.88.60.72]
0:18:49 | Karpuzlupasta(28): kimi soyacam ben
0:18:50 | [CMD] Konyali42(17) => /meslek
0:18:54 | {FFCC00}Konyali42(17) {FFFFFF}Kamyoncu olarak spawn oldu.
0:18:58 | Karpuzlupasta(28): kimi soyacam ben herkez bizde
0:18:59 | 
0:19:2 | {FFCC00}Sparta298(6) {FFFFFF}Kamyoncu olarak spawn oldu.
0:19:8 | [CMD] Sparta298(6) => /admgiris
0:19:9 | sezzer(16): sorma kanka
0:19:12 | [CMD] Emirhan4427(22) => /modcontrol
0:19:12 | sezzer(16): normal görev yap
0:19:14 | ahmet55(7) oyuna girdi [IP: 88.240.57.215]
0:19:16 | [CMD] Emirhan4427(22) => /odulall
0:19:17 | [CMD] Emirhan4427(22) => /odulall
0:19:18 | [CMD] Emirhan4427(22) => /odulall
0:19:18 | [CMD] Sparta298(6) => /meslek
0:19:18 | [CMD] Emirhan4427(22) => /odulall
0:19:19 | [CMD] Emirhan4427(22) => /odulall
0:19:20 | Karpuzlupasta(28): :D
0:19:21 | {FFCC00}Sparta298(6) {FFFFFF}Pilot olarak spawn oldu.
0:19:26 | [CMD] Sparta298(6) => /araba
0:19:26 | [CMD] Emirhan4427(22) => /ohava 0 
0:19:27 | Freezer3543(13): Saol
0:19:29 | Karpuzlupasta(28): öylesine yaptým
0:19:29 | 
0:19:30 | [CMD] Emirhan4427(22) => /osaat 12 
0:19:33 | Sparta298(6): Araç res geliyor!!
0:19:34 | {FFCC00}ahmet55(7) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
0:19:34 | Sparta298(6): Araç res geliyor!!
0:19:40 | [CMD] ahmet55(7) => /SA
0:19:41 | sezzer(16): bbu ne la
